timestamp,open,high,low,close,volume
1735776000000,94580.9,95369.4,94357.4,95112.2,9868.473
1735779600000,95112.3,95523.5,94698.7,94846.7,6455.115999999999
1735783200000,94846.6,95222.8,94786.8,95222.7,3931.154
1735786800000,95222.8,95289.5,94900.0,95000.0,2543.974
1735790400000,95000.0,96031.4,94971.3,95698.7,9450.259
1735794000000,95698.7,95794.0,95380.0,95579.5,4304.610000000001
1735797600000,95579.6,95691.2,95326.9,95569.0,2762.2169999999996
1735801200000,95569.1,95897.4,95493.2,95815.3,3623.1890000000003
1735804800000,95815.4,96204.2,95612.5,96125.3,6135.686
1735808400000,96125.2,96800.0,96012.0,96725.4,8406.161
1735812000000,96721.9,96794.2,96515.0,96693.9,5842.919
1735815600000,96693.9,96870.9,96438.4,96715.4,4864.522999999999
1735819200000,96715.4,96888.6,96575.2,96829.9,5272.205
1735822800000,96830.0,96991.8,96403.9,96426.1,6788.169
1735826400000,96426.0,97440.0,95910.8,97216.0,26301.626
1735830000000,97217.7,97295.2,96112.4,96428.5,14355.631999999998
1735833600000,96428.5,97650.0,96018.7,97196.6,17340.669
1735837200000,97195.5,97603.2,96300.0,96734.4,12161.399
1735840800000,96734.4,97338.5,96372.5,97288.4,7153.047
1735844400000,97288.5,97777.0,97166.0,97292.7,7969.638
1735848000000,97292.7,97822.4,97250.0,97265.8,6730.277
1735851600000,97265.9,97324.8,97012.6,97180.0,3206.1719999999996
1735855200000,97180.0,97180.1,96642.7,96863.8,3587.248
1735858800000,96863.8,97057.0,96751.6,96967.5,2591.132
